epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,293.774,2.00086,1.8254,1.24523,0.75383,0.74979,0.77471,0.40429,1.56781,1.23625,1.07633,0.000658228,0.000658228,0.000658228
2,623.781,1.54508,0.94417,1.05262,0.87568,0.81362,0.87129,0.46778,1.53769,0.87809,1.02154,0.00131178,0.00131178,0.00131178
3,1321.43,1.51892,0.89748,1.029,0.81396,0.82533,0.84838,0.47127,1.32838,1.04872,1.00542,0.00195213,0.00195213,0.00195213
4,1872.47,1.40326,0.84575,0.99849,0.8892,0.87281,0.91727,0.52395,1.36733,0.808,0.96928,0.0019406,0.0019406,0.0019406
5,2589.76,1.37007,0.81849,0.991,0.89616,0.87965,0.91716,0.54846,1.25673,0.77261,0.94808,0.0019208,0.0019208,0.0019208
6,3322.65,1.34009,0.78822,0.9894,0.90222,0.87126,0.91081,0.5346,1.32739,0.78131,0.97863,0.001901,0.001901,0.001901
7,4015.94,1.33143,0.77567,0.97851,0.88353,0.85549,0.88729,0.53916,1.28379,0.76702,0.9658,0.0018812,0.0018812,0.0018812
8,4703.5,1.3024,0.75752,0.96263,0.86144,0.87389,0.9015,0.50193,1.35557,0.8113,0.964,0.0018614,0.0018614,0.0018614
9,5395.46,1.28212,0.73576,0.95282,0.92204,0.90606,0.94116,0.58051,1.17985,0.69715,0.93541,0.0018416,0.0018416,0.0018416
10,6082.35,1.27048,0.71414,0.94375,0.94076,0.90596,0.93659,0.57975,1.2166,0.66938,0.92618,0.0018218,0.0018218,0.0018218
11,6763.4,1.20681,0.68179,0.93615,0.93577,0.91841,0.94752,0.61613,1.11701,0.64363,0.91553,0.001802,0.001802,0.001802
12,7452.82,1.21263,0.68036,0.93932,0.94137,0.92196,0.94836,0.61231,1.1206,0.63705,0.91561,0.0017822,0.0017822,0.0017822
13,8139.43,1.20511,0.6682,0.93415,0.93003,0.91943,0.94575,0.62364,1.10313,0.62282,0.91003,0.0017624,0.0017624,0.0017624
14,8822.41,1.19233,0.65663,0.92632,0.94535,0.92232,0.95088,0.62797,1.07919,0.60979,0.90568,0.0017426,0.0017426,0.0017426
15,9502.69,1.21642,0.6475,0.93153,0.93925,0.91734,0.94629,0.59927,1.16909,0.63253,0.90849,0.0017228,0.0017228,0.0017228
16,10184.3,1.273,0.68199,0.94408,0.93402,0.92317,0.94612,0.6257,1.09162,0.6269,0.91354,0.001703,0.001703,0.001703
17,10876.7,1.24164,0.67508,0.94141,0.94034,0.92282,0.95272,0.61258,1.09975,0.62461,0.90757,0.0016832,0.0016832,0.0016832
18,11664.1,1.1661,0.64474,0.91975,0.9267,0.89414,0.92499,0.60996,1.09678,0.63387,0.91729,0.0016634,0.0016634,0.0016634
19,12343.3,1.17657,0.64751,0.92599,0.923,0.91307,0.93698,0.53262,1.26642,0.66282,0.92448,0.0016436,0.0016436,0.0016436
20,13028.2,1.15968,0.62108,0.91723,0.93676,0.92897,0.9546,0.64303,1.05596,0.59302,0.89977,0.0016238,0.0016238,0.0016238
21,13710.6,1.21175,0.63598,0.92094,0.95081,0.92795,0.9565,0.63369,1.08344,0.59285,0.89871,0.001604,0.001604,0.001604
22,14397,1.17628,0.62029,0.91921,0.94563,0.92691,0.94923,0.6429,1.0512,0.57683,0.90239,0.0015842,0.0015842,0.0015842
23,15094.6,1.16427,0.61118,0.9219,0.95747,0.93049,0.95866,0.64249,1.05818,0.56256,0.89906,0.0015644,0.0015644,0.0015644
24,15769,1.14802,0.59587,0.91468,0.94077,0.92569,0.95419,0.6457,1.04385,0.57976,0.89743,0.0015446,0.0015446,0.0015446
25,16450,1.13582,0.59737,0.91003,0.95147,0.9313,0.95567,0.63533,1.05625,0.57762,0.8973,0.0015248,0.0015248,0.0015248
26,17130.2,1.15848,0.60476,0.92181,0.94633,0.93419,0.9558,0.63683,1.063,0.56473,0.89926,0.001505,0.001505,0.001505
27,17809.6,1.13474,0.60196,0.91122,0.94935,0.92515,0.95404,0.63969,1.06653,0.56842,0.90003,0.0014852,0.0014852,0.0014852
28,18490.5,1.135,0.59782,0.90184,0.94985,0.93718,0.95761,0.64057,1.03641,0.55557,0.89611,0.0014654,0.0014654,0.0014654
